Sentence #,Token_id,Word,Tag,Sentiment,Relation
Sentence: 8,9,investeert,I-expression,pos,-
Sentence: 8,10,in,I-expression,pos,-
Sentence: 8,11,start,B-target,-,2
Sentence: 8,12,ups,I-target,-,2
Sentence: 8,13,met,I-target,-,2
Sentence: 8,14,nieuwe,I-target,-,2
Sentence: 8,15,ideeën,I-target,-,2
Sentence: 8,16,om,I-target,-,2
Sentence: 8,17,duurzame,I-target,-,2
Sentence: 8,18,energie,I-target,-,2
Sentence: 8,19,betaalbaar,I-target,-,2
Sentence: 8,20,te,I-target,-,2
Sentence: 8,21,houden,I-target,-,2
Sentence: 8,22,.,O,-,-
Sentence: 9,1,Volgens,O,-,-
Sentence: 9,2,opiniepeiler,O,-,-
Sentence: 9,3,BVA,O,-,-
Sentence: 9,4,denkt,O,-,-
Sentence: 9,5,69,B-holder,-,12
Sentence: 9,6,%,I-holder,-,12
Sentence: 9,7,van,I-holder,-,12
Sentence: 9,8,de,I-holder,-,12
Sentence: 9,9,Fransen,I-holder,-,12
Sentence: 9,10,dat,O,-,-
Sentence: 9,11,kernenergie,B-target,-,12
Sentence: 9,12,bijdraagt,B-expression,neg,-
Sentence: 9,13,aan,I-expression,neg,-
Sentence: 9,14,klimaatverandering,I-expression,neg,-
Sentence: 9,15,.,O,-,-
Sentence: 10,1,Tegelijkertijd,O,-,-
Sentence: 10,2,wil,B-expression,pos,-
Sentence: 10,3,de,B-holder,-,2
Sentence: 10,4,windenergiebranche,I-holder,-,2
Sentence: 10,5,dat,O,-,-
Sentence: 10,6,vergunningen,B-target,-,2
Sentence: 10,7,voor,I-target,-,2
Sentence: 10,8,windparken,I-target,-,2
Sentence: 10,9,voor,I-target,-,2
Sentence: 10,10,40,I-target,-,2
Sentence: 10,11,jaar,I-target,-,2
Sentence: 10,12,worden,I-target,-,2
Sentence: 10,13,afgegeven,I-target,-,2
Sentence: 10,14,in,O,-,-
Sentence: 10,15,plaats,O,-,-
Sentence: 10,16,van,O,-,-
Sentence: 10,17,30,O,-,-
Sentence: 10,18,jaar,O,-,-
Sentence: 10,19,.,O,-,-
Sentence: 11,1,Nederland,B-holder,-,2
Sentence: 11,2,wil,B-expression,pos,-
Sentence: 11,3,de,B-target,-,2
Sentence: 11,4,energietransitie,I-target,-,2
Sentence: 11,5,in,I-target,-,2
Sentence: 11,6,30,I-target,-,2
Sentence: 11,7,jaar,I-target,-,2
Sentence: 11,8,voltooien,I-target,-,2
Sentence: 11,9,.,O,-,-
Sentence: 12,1,De,B-expression,pos,-
Sentence: 12,2,regels,I-expression,pos,-
Sentence: 12,3,voor,I-expression,pos,-
Sentence: 12,4,het,I-expression,pos,-
Sentence: 12,5,plaatsen,I-expression,pos,-
Sentence: 12,6,van,I-expression,pos,-
Sentence: 12,7,kleine,I-target,-,1
Sentence: 12,8,windturbines,I-target,-,1
Sentence: 12,9,in,I-target,-,1
Sentence: 12,10,Dalfsen,I-target,-,1
Sentence: 12,11,worden,I-expression,pos,-
Sentence: 12,12,versoepeld,I-expression,pos,-
Sentence: 12,13,.,O,-,-
Sentence: 13,1,Ook,O,-,-
Sentence: 13,2,willen,B-expression,pos,-
Sentence: 13,3,ze,B-holder,-,2
Sentence: 13,4,dat,O,-,-
Sentence: 13,5,de,I-expression,pos,-
Sentence: 13,6,wethouder,I-expression,pos,-
Sentence: 13,7,met,I-expression,pos,-
Sentence: 13,8,huidige,I-expression,pos,-
Sentence: 13,9,en,I-expression,pos,-
Sentence: 13,10,toekomstige,I-expression,pos,-
Sentence: 13,11,initiatiefnemers,I-expression,pos,-
Sentence: 13,12,van,I-expression,pos,-
Sentence: 13,13,biomassa,I-expression,pos,-
Sentence: 13,14,in,I-expression,pos,-
Sentence: 13,15,gesprek,I-expression,pos,-
Sentence: 13,16,gaat,I-expression,pos,-
Sentence: 13,17,over,I-expression,pos,-
Sentence: 13,18,over,I-expression,pos,-
Sentence: 13,19,over,I-expression,pos,-
Sentence: 13,20,fijnstof,B-target,-,2
Sentence: 13,21,af,I-target,-,2
Sentence: 13,22,te,I-target,-,2
Sentence: 13,23,vangen,I-target,-,2
Sentence: 13,24,.,O,-,-
Sentence: 14,1,Ook,O,-,-
Sentence: 14,2,wil,B-expression,pos,-
Sentence: 14,3,de,B-holder,-,2
Sentence: 14,4,provincie,I-holder,-,2
Sentence: 14,5,de,I-expression,pos,-
Sentence: 14,6,capaciteit,I-expression,pos,-
Sentence: 14,7,van,I-expression,pos,-
Sentence: 14,8,het,I-target,-,2
Sentence: 14,9,elektriciteitsnet,I-target,-,2
Sentence: 14,10,de,O,-,-
Sentence: 14,11,komende,O,-,-
Sentence: 14,12,tien,O,-,-
Sentence: 14,13,jaar,O,-,-
Sentence: 14,14,meer,I-expression,pos,-
Sentence: 14,15,dan,I-expression,pos,-
Sentence: 14,16,verdubbelden,I-expression,pos,-
Sentence: 14,17,.,O,-,-
Sentence: 15,1,Utrecht,B-holder,-,2
Sentence: 15,2,wil,B-expression,pos,-
Sentence: 15,3,dat,I-expression,pos,-
Sentence: 15,4,er,I-expression,pos,-
Sentence: 15,5,maximaal,B-target,-,2
Sentence: 15,6,acht,I-target,-,2
Sentence: 15,7,(,I-target,-,2
Sentence: 15,8,grote,I-target,-,2
Sentence: 15,9,),I-target,-,2
Sentence: 15,10,windmolens,I-target,-,2
Sentence: 15,11,en,O,-,-
Sentence: 15,12,230,B-target,-,2
Sentence: 15,13,hectare,I-target,-,2
Sentence: 15,14,zonnevelden,I-target,-,2
Sentence: 15,15,komen,I-expression,pos,-
Sentence: 15,16,in,O,-,-
Sentence: 15,17,de,O,-,-
Sentence: 15,18,polder,O,-,-
Sentence: 15,19,Rijnenburg,O,-,-
Sentence: 15,20,bij,O,-,-
Sentence: 15,21,De,O,-,-
Sentence: 15,22,Meern,O,-,-
Sentence: 15,23,.,O,-,-
Sentence: 16,1,Vattenfall,B-holder,-,7
Sentence: 16,2,(,O,-,-
Sentence: 16,3,voorheen,O,-,-
Sentence: 16,4,:,O,-,-
Sentence: 16,5,Nuon,O,-,-
Sentence: 16,6,),O,-,-
Sentence: 16,7,wil,B-expression,pos,-
Sentence: 16,8,de,B-target,-,7
Sentence: 16,9,huidige,I-target,-,7
Sentence: 16,10,elektriciteitscentrale,I-target,-,7
Sentence: 16,11,deels,I-target,-,7
Sentence: 16,12,ombouwen,I-target,-,7
Sentence: 16,13,tot,I-target,-,7
Sentence: 16,14,biomassacentrale,I-target,-,7
Sentence: 16,15,die,O,-,-
Sentence: 16,16,de,O,-,-
Sentence: 16,17,warmte,O,-,-
Sentence: 16,18,van,O,-,-
Sentence: 16,19,90.000,O,-,-
Sentence: 16,20,woningen,O,-,-
Sentence: 16,21,in,O,-,-
Sentence: 16,22,Amsterdam,O,-,-
Sentence: 16,23,en,O,-,-
Sentence: 16,24,Almere,O,-,-
Sentence: 16,25,moet,O,-,-
Sentence: 16,26,leveren,O,-,-
Sentence: 16,27,.,O,-,-
Sentence: 18,1,Ook,O,-,-
Sentence: 18,2,wil,B-expression,pos,-
Sentence: 18,3,de,B-holder,-,2
Sentence: 18,4,raad,I-holder,-,2
Sentence: 18,5,helder,B-target,-,2
Sentence: 18,6,zien,I-target,-,2
Sentence: 18,7,te,I-target,-,2
Sentence: 18,8,krijgen,I-target,-,2
Sentence: 18,9,hoe,I-target,-,2
Sentence: 18,10,de,I-target,-,2
Sentence: 18,11,energiestrategie,I-target,-,2
Sentence: 18,12,zich,I-target,-,2
Sentence: 18,13,verhoudt,I-target,-,2
Sentence: 18,14,tot,I-target,-,2
Sentence: 18,15,de,I-target,-,2
Sentence: 18,16,lokale,I-target,-,2
Sentence: 18,17,energievisie,I-target,-,2
Sentence: 18,18,",",O,-,-
Sentence: 18,19,die,O,-,-
Sentence: 18,20,nog,O,-,-
Sentence: 18,21,moet,O,-,-
Sentence: 18,22,worden,O,-,-
Sentence: 18,23,vastgesteld,O,-,-
Sentence: 18,24,.,O,-,-
Sentence: 19,1,De,O,-,-
Sentence: 19,2,Zwolse,O,-,-
Sentence: 19,3,energietransitie,O,-,-
Sentence: 19,4,",",O,-,-
Sentence: 19,5,met,B-expression,pos,-
Sentence: 19,6,als,I-expression,pos,-
Sentence: 19,7,doelstelling,I-expression,pos,-
Sentence: 19,8,om,O,-,-
Sentence: 19,9,in,B-target,-,5
Sentence: 19,10,2050,I-target,-,5
Sentence: 19,11,energie,I-target,-,5
Sentence: 19,12,neutraal,I-target,-,5
Sentence: 19,13,te,I-target,-,5
Sentence: 19,14,zijn,I-target,-,5
Sentence: 19,15,",",O,-,-
Sentence: 19,16,raakt,O,-,-
Sentence: 19,17,uiteindelijk,O,-,-
Sentence: 19,18,alle,O,-,-
Sentence: 19,19,inwoners,O,-,-
Sentence: 19,20,van,O,-,-
Sentence: 19,21,de,O,-,-
Sentence: 19,22,stad,O,-,-
Sentence: 19,23,.,O,-,-
Sentence: 20,1,Het,O,-,-
Sentence: 20,2,handjevol,O,-,-
Sentence: 20,3,elektrische,O,-,-
Sentence: 20,4,auto,O,-,-
Sentence: 20,5,’,O,-,-
Sentence: 20,6,s,O,-,-
Sentence: 20,7,die,O,-,-
Sentence: 20,8,dit,O,-,-
Sentence: 20,9,jaar,O,-,-
Sentence: 20,10,wel,O,-,-
Sentence: 20,11,op,O,-,-
Sentence: 20,12,kenteken,O,-,-
Sentence: 20,13,zijn,O,-,-
Sentence: 20,14,gezet,O,-,-
Sentence: 20,15,",",O,-,-
Sentence: 20,16,zijn,O,-,-
Sentence: 20,17,verkocht,O,-,-
Sentence: 20,18,aan,O,-,-
Sentence: 20,19,particulieren,B-holder,-,22
Sentence: 20,20,die,O,-,-
Sentence: 20,21,groen,B-target,-,22
Sentence: 20,22,willen,B-expression,pos,-
Sentence: 20,23,rijden,I-target,-,22
Sentence: 20,24,.,O,-,-
Sentence: 22,1,Zo,O,-,-
Sentence: 22,2,wilde,B-expression,pos,-
Sentence: 22,3,de,B-holder,-,2
Sentence: 22,4,Pvd,I-holder,-,2
Sentence: 22,5,A,I-holder,-,2
Sentence: 22,6,niet,O,-,-
Sentence: 22,7,alleen,O,-,-
Sentence: 22,8,weten,B-target,-,2
Sentence: 22,9,of,I-target,-,2
Sentence: 22,10,de,I-target,-,2
Sentence: 22,11,overgang,I-target,-,2
Sentence: 22,12,naar,I-target,-,2
Sentence: 22,13,duurzame,I-target,-,2
Sentence: 22,14,energie,I-target,-,2
Sentence: 22,15,betaalbaar,I-target,-,2
Sentence: 22,16,is,I-target,-,2
Sentence: 22,17,voor,I-target,-,2
Sentence: 22,18,de,I-target,-,2
Sentence: 22,19,inwoners,I-target,-,2
Sentence: 22,20,",",I-target,-,2
Sentence: 22,21,maar,I-target,-,2
Sentence: 22,22,ook,I-target,-,2
Sentence: 22,23,hoe,I-target,-,2
Sentence: 22,24,de,I-target,-,2
Sentence: 22,25,gemeente,I-target,-,2
Sentence: 22,26,hen,I-target,-,2
Sentence: 22,27,enthousiast,I-target,-,2
Sentence: 22,28,krijgt,I-target,-,2
Sentence: 22,29,voor,I-target,-,2
Sentence: 22,30,de,I-target,-,2
Sentence: 22,31,energieplannen,I-target,-,2
Sentence: 22,32,.,O,-,-
Sentence: 24,1,Duitsland,B-holder,-,2
Sentence: 24,2,reserveert,B-expression,pos,-
Sentence: 24,3,ruim,I-expression,pos,-
Sentence: 24,4,4,I-expression,pos,-
Sentence: 24,5,miljard,I-expression,pos,-
Sentence: 24,6,euro,I-expression,pos,-
Sentence: 24,7,om,O,-,-
Sentence: 24,8,energiebedrijven,B-target,-,2
Sentence: 24,9,te,I-target,-,2
Sentence: 24,10,compenseren,I-target,-,2
Sentence: 24,11,die,I-target,-,2
Sentence: 24,12,getroffen,I-target,-,2
Sentence: 24,13,gaan,I-target,-,2
Sentence: 24,14,worden,I-target,-,2
Sentence: 24,15,door,I-target,-,2
Sentence: 24,16,de,I-target,-,2
Sentence: 24,17,sluiting,I-target,-,2
Sentence: 24,18,van,I-target,-,2
Sentence: 24,19,kolencentrales,I-target,-,2
Sentence: 24,20,.,O,-,-
Sentence: 25,1,Op,O,-,-
Sentence: 25,2,die,O,-,-
Sentence: 25,3,schommelingen,O,-,-
Sentence: 25,4,in,O,-,-
Sentence: 25,5,het,O,-,-
Sentence: 25,6,energienet,O,-,-
Sentence: 25,7,moet,B-expression,pos,-
Sentence: 25,8,een,B-target,-,7
Sentence: 25,9,Europees,I-target,-,7
Sentence: 25,10,antwoord,I-target,-,7
Sentence: 25,11,komen,I-expression,pos,-
Sentence: 25,12,",",O,-,-
Sentence: 25,13,vindt,O,-,-
Sentence: 25,14,Tennet,B-holder,-,7
Sentence: 25,15,",",O,-,-
Sentence: 25,16,dat,O,-,-
Sentence: 25,17,voor,O,-,-
Sentence: 25,18,100,O,-,-
Sentence: 25,19,%,O,-,-
Sentence: 25,20,in,O,-,-
Sentence: 25,21,handen,O,-,-
Sentence: 25,22,is,O,-,-
Sentence: 25,23,van,O,-,-
Sentence: 25,24,de,O,-,-
Sentence: 25,25,Nederlandse,O,-,-
Sentence: 25,26,staat,O,-,-
Sentence: 25,27,.,O,-,-
Sentence: 26,1,Daarmee,O,-,-
Sentence: 26,2,wilde,B-expression,pos,-
Sentence: 26,3,de,B-holder,-,2
Sentence: 26,4,gemeente,I-holder,-,2
Sentence: 26,5,maximaal,B-target,-,2
Sentence: 26,6,gebruik,B-target,-,2
Sentence: 26,7,maken,B-target,-,2
Sentence: 26,8,van,B-target,-,2
Sentence: 26,9,de,B-target,-,2
Sentence: 26,10,beschikbare,B-target,-,2
Sentence: 26,11,ruimte,B-target,-,2
Sentence: 26,12,",",O,-,-
Sentence: 26,13,en,O,-,-
Sentence: 26,14,op,O,-,-
Sentence: 26,15,deze,O,-,-
Sentence: 26,16,manier,O,-,-
Sentence: 26,17,hun,B-expression,pos,-
Sentence: 26,18,steentje,I-expression,pos,-
Sentence: 26,19,bijdragen,I-expression,pos,-
Sentence: 26,20,aan,I-expression,pos,-
Sentence: 26,21,het,I-expression,pos,-
Sentence: 26,22,produceren,I-expression,pos,-
Sentence: 26,23,van,I-expression,pos,-
Sentence: 26,24,zoveel,I-expression,pos,-
Sentence: 26,25,mogelijk,I-expression,pos,-
Sentence: 26,26,duurzame,B-target,-,17
Sentence: 26,27,energie,I-target,-,17
Sentence: 26,28,.,O,-,-
Sentence: 28,1,Daarnaast,O,-,-
Sentence: 28,2,wil,B-expression,neg,-
Sentence: 28,3,het,B-holder,-,2
Sentence: 28,4,de,B-target,-,2
Sentence: 28,5,CO2,I-target,-,2
Sentence: 28,6,uitstoot,I-target,-,2
Sentence: 28,7,in,I-target,-,2
Sentence: 28,8,de,I-target,-,2
Sentence: 28,9,aandelenportefeuille,I-target,-,2
Sentence: 28,10,verder,I-expression,neg,-
Sentence: 28,11,terugbrengen,I-expression,neg,-
Sentence: 28,12,en,O,-,-
Sentence: 28,13,meer,B-expression,pos,-
Sentence: 28,14,beleggen,I-expression,pos,-
Sentence: 28,15,in,I-expression,pos,-
Sentence: 28,16,duurzame,B-target,-,13
Sentence: 28,17,energie,I-target,-,13
Sentence: 28,18,.,O,-,-
Sentence: 29,1,De,B-holder,-,15
Sentence: 29,2,metaalfondsen,I-holder,-,15
Sentence: 29,3,PMT,I-holder,-,15
Sentence: 29,4,en,I-holder,-,15
Sentence: 29,5,PME,I-holder,-,15
Sentence: 29,6,-,O,-,-
Sentence: 29,7,het,O,-,-
Sentence: 29,8,derde,O,-,-
Sentence: 29,9,en,O,-,-
Sentence: 29,10,vijfde,O,-,-
Sentence: 29,11,pensioenfonds,O,-,-
Sentence: 29,12,van,O,-,-
Sentence: 29,13,Nederland,O,-,-
Sentence: 29,14,-,O,-,-
Sentence: 29,15,willen,B-expression,neg,-
Sentence: 29,16,hun,B-target,-,15
Sentence: 29,17,CO2,I-target,-,15
Sentence: 29,18,uitstoot,I-target,-,15
Sentence: 29,19,in,I-target,-,15
Sentence: 29,20,2025,I-target,-,15
Sentence: 29,21,halveren,B-expression,neg,-
Sentence: 29,22,ten,O,-,-
Sentence: 29,23,opzichte,O,-,-
Sentence: 29,24,van,O,-,-
Sentence: 29,25,2015,O,-,-
Sentence: 29,26,.,O,-,-
Sentence: 31,1,Maar,O,-,-
Sentence: 31,2,het,B-holder,-,4
Sentence: 31,3,ministerie,I-holder,-,4
Sentence: 31,4,heeft,B-expression,neg,-
Sentence: 31,5,dat,B-target,-,4
Sentence: 31,6,liever,I-expression,neg,-
Sentence: 31,7,niet,I-expression,neg,-
Sentence: 31,8,",",O,-,-
Sentence: 31,9,omdat,O,-,-
Sentence: 31,10,daar,O,-,-
Sentence: 31,11,veel,B-expression,neg,-
Sentence: 31,12,meer,I-expression,neg,-
Sentence: 31,13,broeikasgassen,I-expression,neg,-
Sentence: 31,14,vrijkomen,I-expression,neg,-
Sentence: 31,15,bij,I-expression,neg,-
Sentence: 31,16,de,I-expression,neg,-
Sentence: 31,17,winning,I-expression,neg,-
Sentence: 31,18,en,I-expression,neg,-
Sentence: 31,19,later,I-expression,neg,-
Sentence: 31,20,bij,I-expression,neg,-
Sentence: 31,21,het,I-expression,neg,-
Sentence: 31,22,transport,I-expression,neg,-
Sentence: 31,23,.,O,-,-
Sentence: 33,1,Obrist,B-holder,-,9
Sentence: 33,2,is,O,-,-
Sentence: 33,3,van,O,-,-
Sentence: 33,4,mening,O,-,-
Sentence: 33,5,dat,O,-,-
Sentence: 33,6,elektrische,B-target,-,9
Sentence: 33,7,auto,I-target,-,9
Sentence: 33,8,s,I-target,-,9
Sentence: 33,9,nog,B-expression,neg,-
Sentence: 33,10,te,I-expression,neg,-
Sentence: 33,11,duur,I-expression,neg,-
Sentence: 33,12,zijn,O,-,-
Sentence: 33,13,",",O,-,-
Sentence: 33,14,voor,O,-,-
Sentence: 33,15,een,O,-,-
Sentence: 33,16,belangrijk,O,-,-
Sentence: 33,17,deel,O,-,-
Sentence: 33,18,vanwege,O,-,-
Sentence: 33,19,de,O,-,-
Sentence: 33,20,accu,O,-,-
Sentence: 33,21,s,O,-,-
Sentence: 33,22,.,O,-,-
Sentence: 34,1,Tientallen,B-holder,-,13
Sentence: 34,2,verontruste,I-holder,-,13
Sentence: 34,3,burgers,I-holder,-,13
Sentence: 34,4,verzamelden,O,-,-
Sentence: 34,5,zich,O,-,-
Sentence: 34,6,maandagmiddag,O,-,-
Sentence: 34,7,bij,O,-,-
Sentence: 34,8,het,O,-,-
Sentence: 34,9,Provinciehuis,O,-,-
Sentence: 34,10,in,O,-,-
Sentence: 34,11,Haarlem,O,-,-
Sentence: 34,12,om,O,-,-
Sentence: 34,13,hun,B-expression,neg,-
Sentence: 34,14,ongenoegen,I-expression,neg,-
Sentence: 34,15,tegen,I-expression,neg,-
Sentence: 34,16,de,B-target,-,13
Sentence: 34,17,komst,I-target,-,13
Sentence: 34,18,van,I-target,-,13
Sentence: 34,19,windmolens,I-target,-,13
Sentence: 34,20,te,I-expression,neg,-
Sentence: 34,21,uiten,I-expression,neg,-
Sentence: 34,22,.,O,-,-
Sentence: 35,1,Zoals,O,-,-
Sentence: 35,2,wij,O,-,-
Sentence: 35,3,nu,O,-,-
Sentence: 35,4,zien,O,-,-
Sentence: 35,5,kiest,B-expression,pos,-
Sentence: 35,6,deze,B-holder,-,5
Sentence: 35,7,groep,I-holder,-,5
Sentence: 35,8,leaserijders,I-holder,-,5
Sentence: 35,9,juist,O,-,-
Sentence: 35,10,een,B-target,-,5
Sentence: 35,11,elektrische,I-target,-,5
Sentence: 35,12,auto,I-target,-,5
Sentence: 35,13,.,O,-,-
Sentence: 43,1,Gisteren,O,-,-
Sentence: 43,2,was,B-expression,neg,-
Sentence: 43,3,steun,I-expression,neg,-
Sentence: 43,4,voor,I-expression,neg,-
Sentence: 43,5,drie,B-target,-,2
Sentence: 43,6,windmolens,I-target,-,2
Sentence: 43,7,en,O,-,-
Sentence: 43,8,bijna,B-target,-,2
Sentence: 43,9,800,I-target,-,2
Sentence: 43,10,hectares,I-target,-,2
Sentence: 43,11,aan,I-target,-,2
Sentence: 43,12,zonnevelden,I-target,-,2
Sentence: 43,13,ver,I-expression,neg,-
Sentence: 43,14,te,I-expression,neg,-
Sentence: 43,15,zoeken,I-expression,neg,-
Sentence: 43,16,.,O,-,-
Sentence: 44,1,Om,O,-,-
Sentence: 44,2,dat,O,-,-
Sentence: 44,3,voor,O,-,-
Sentence: 44,4,elkaar,O,-,-
Sentence: 44,5,te,O,-,-
Sentence: 44,6,krijgen,O,-,-
Sentence: 44,7,werkten,B-expression,pos,-
Sentence: 44,8,gemeente,B-holder,-,7
Sentence: 44,9,",",O,-,-
Sentence: 44,10,woningcorporaties,B-holder,-,7
Sentence: 44,11,en,O,-,-
Sentence: 44,12,netbeheerder,B-holder,-,7
Sentence: 44,13,samen,I-expression,pos,-
Sentence: 44,14,aan,I-expression,pos,-
Sentence: 44,15,een,I-expression,pos,-
Sentence: 44,16,plan,I-expression,pos,-
Sentence: 44,17,voor,I-expression,pos,-
Sentence: 44,18,een,B-target,-,7
Sentence: 44,19,warmtevoorziening,I-target,-,7
Sentence: 44,20,op,I-target,-,7
Sentence: 44,21,wijkniveau,I-target,-,7
Sentence: 44,22,.,O,-,-
Sentence: 46,1,De,B-expression,neg,-
Sentence: 46,2,oproep,I-expression,neg,-
Sentence: 46,3,van,O,-,-
Sentence: 46,4,de,B-holder,-,1
Sentence: 46,5,fractie,I-holder,-,1
Sentence: 46,6,geen,I-expression,neg,-
Sentence: 46,7,windturbines,B-target,-,1
Sentence: 46,8,te,I-expression,neg,-
Sentence: 46,9,plaatsen,I-expression,neg,-
Sentence: 46,10,binnen,I-target,-,1
Sentence: 46,11,een,I-target,-,1
Sentence: 46,12,straal,I-target,-,1
Sentence: 46,13,van,I-target,-,1
Sentence: 46,14,één,I-target,-,1
Sentence: 46,15,kilometer,I-target,-,1
Sentence: 46,16,van,I-target,-,1
Sentence: 46,17,bestaande,I-target,-,1
Sentence: 46,18,woningen,I-target,-,1
Sentence: 46,19,",",O,-,-
Sentence: 46,20,kreeg,B-expression,pos,-
Sentence: 46,21,alleen,O,-,-
Sentence: 46,22,bijval,I-expression,pos,-
Sentence: 46,23,van,O,-,-
Sentence: 46,24,Haaksbergen,B-holder,-,20
Sentence: 46,25,Centraal,I-holder,-,20
Sentence: 46,26,.,O,-,-
Sentence: 47,1,De,B-holder,-,7
Sentence: 47,2,partij,I-holder,-,7
Sentence: 47,3,vindt,O,-,-
Sentence: 47,4,het,O,-,-
